"index","SEM 1 SGPA","SEM 1 KT","SEM 2 SGPA","SEM 2 KT","SEM 3 SGPA","SEM 3 KT","SEM 4 SGPA","SEM 4 KT","SEM 5 SGPA","SEM 5 KT","SEM 6 SGPA","SEM 6 KT","SEM 7 SGPA","SEM 7 KT","SEM 8 SGPA","Hours_On_Assignment","Hours_On_Studies","Travel_Time","Attendance","Internet_Availability","Internet_Speed","Mode_Of_Transportation","2_hrs_lect","Submissions","5_hrs_lect","5_hrs_pracs","Coaching_classes","Teacher's Feedback","Label","Scocial_Skills","Average pointer","Cleaned_Feedback"
"182","4.64","1","4.21","1","4.31","1.0","4.19","1.0","4.65","0","4.6","0.0","4.59","0","3.78","0","0","2","5","1","0","3","0","1","0","0","0","Does not follow my lecture and Very talkative","0","0","4.37125","follow lectur talkat"
"183","5.9","1","5.7","1","5.6","1.0","5.8","0.0","5.9","0","6.1","0.0","6.7","0","6.4","0","1","3","5","0","0","2","1","0","1","0","0","Disciplined and hard working","1","1","6.0125","disciplin hard work"
"184","4.34","1","4.98","2","4.19","1.0","4.28","2.0","3.99","0","4.87","0.0","4.93","0","4.89","0","0","2","5","1","0","1","0","1","0","0","0","Very talkative","0","0","4.55875","talkat"
"185","9.16","1","8.35","0","8.27","2.0","7.2","0.0","8.6","0","8.2","0.0","9.4","0","7.5","0","0","3","2","1","0","3","0","1","1","1","0","Disciplined and hard working","1","0","8.335","disciplin hard work"
"186","3.8","1","3.9","2","4.6","1.0","3.9","2.0","4.78","0","4.15","0.0","4.7","0","4.78","0","0","3","5","1","0","1","0","1","0","0","0","Lagging Behind","0","0","4.32625","lag behind"
"187","5.8","0","5.9","1","5.9","0.0","6.0","0.0","6.2","0","6.4","0.0","6.7","0","6.5","0","0","2","3","1","0","1","0","1","0","0","0","Disciplined and hard working","1","0","6.175","disciplin hard work"
"188","8.43","1","6.2","2","6.8","1.0","6.5","0.0","7.4","0","8.12","0.0","8.9","0","6.6","0","0","3","2","1","0","1","1","1","0","0","1","Eagerness to Learn","1","0","7.36875","eager learn"
"189","4.78","1","4.67","2","4.15","2.0","4.28","1.0","3.9","0","4.31","0.0","3.98","0","4.54","0","0","3","5","1","0","3","0","1","0","0","0","Argues with teacher","0","0","4.32625","argu teacher"
"190","8.0","0","8.56","0","7.22","0.0","7.6","0.0","8.2","0","6.9","0.0","9.34","0","6.0","0","0","3","1","1","0","3","1","1","0","0","0","Solid Social and Emotional Skills","1","0","7.7275","solid social emot skill"
"191","8.57","0","8.22","0","8.08","0.0","8.8","0.0","8.5","0","8.4","0.0","8.6","0","8.1","0","0","3","1","1","0","3","0","1","1","1","0","Disciplined and hard working","1","0","8.40875","disciplin hard work"
"192","5.93","0","5.2","0","5.4","0.0","6.8","0.0","7.5","0","6.3","0.0","8.2","0","6.3","0","0","2","4","1","0","3","1","1","0","0","0","Responsible","1","0","6.45375","respons"
"193","5.6","0","6.08","0","4.89","0.0","5.41","0.0","6.88","0","6.0","0.0","6.2","0","6.15","1","0","2","3","1","0","1","0","1","1","0","0","Excellent performance","1","0","5.90125","excel perform"
"194","","0","9.24","0","6.15","0.0","9.0","0.0","5.9","0","7.5","","8.2","0","6.2","1","0","3","3","0","0","1","0","0","0","1","0","Self-Motivated","1","0","",""
"195","8.14","0","7.0","0","7.6","0.0","8.2","0.0","7.83","0","5.9","","7.3","0","8.4","1","0","3","1","1","0","3","0","1","0","1","0","Eagerness to Learn","1","0","7.54625","eager learn"
"196","6.19","0","6.2","1","6.15","1.0","7.0","0.0","7.1","0","6.9","0.0","6.8","0","6.7","1","0","2","4","1","0","1","0","0","1","1","0","Excellent performance","1","0","6.63","excel perform"
"197","4.5","2","4.2","3","4.3","1.0","3.6","2.0","4.79","0","3.7","0.0","4.79","0","3.89","0","0","2","5","1","0","1","0","1","0","0","0","Not attentive","0","0","4.22125","attent"
"198","8.15","0","8.3","0","9.07","0.0","8.93","0.0","8.88","0","8.7","0.0","8.6","0","8.9","0","0","2","3","1","0","1","1","1","0","1","0","Willingness to Put Forth Effort","1","0","8.69125","willing put forth effort"
"199","3.7","1","3.9","1","4.8","1.0","3.7","3.0","4.27","0","3.56","0.0","4.5","0","3.4","0","0","1","5","1","0","2","0","1","0","0","0","Does not follow my lecture and Very talkative","0","0","3.97875","follow lectur talkat"
